"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","288","test_login_courier_invalid_credentials","tests.courier","2026-06-01","passed","2026-06-01","TestLoginCourier","test_login_courier","",""
"","310","Тестируем создание заказа","tests.order","2026-06-01","passed","2026-06-01","TestCreateOrder","test_create_order","",""
"","288","Тестируем авторизацию курьера","tests.courier","2026-06-01","passed","2026-06-01","TestLoginCourier","test_login_courier","",""
"","291","test_create_courier_missing_field","tests.courier","2026-06-01","passed","2026-06-01","TestCreateCourier","test_create_courier","",""
"","432","test_login_courier_missing_field","tests.courier","2026-06-01","passed","2026-06-01","TestLoginCourier","test_login_courier","",""
"","424","Тестируем получение списка заказов","tests.order","2026-06-01","passed","2026-06-01","TestGetOrders","test_get_orders","",""
"","324","Тестируем создание заказа","tests.order","2026-06-01","passed","2026-06-01","TestCreateOrder","test_create_order","",""
"","320","Тестируем создание заказа","tests.order","2026-06-01","passed","2026-06-01","TestCreateOrder","test_create_order","",""
"","702","Тестируем регистрацию аккаунта курьера","tests.courier","2026-06-01","passed","2026-06-01","TestCreateCourier","test_create_courier","",""
"","491","test_create_duplicate_courier","tests.courier","2026-06-01","passed","2026-06-01","TestCreateCourier","test_create_courier","",""
"","299","Тестируем создание заказа","tests.order","2026-06-01","passed","2026-06-01","TestCreateOrder","test_create_order","",""
